cif,FundID,cust_rlv,fund_rlv
1000043029,FD004,5,3
1000043226,IN024,2,2
1000043261,UB047,5,5
1000043261,AL003,5,3
1000043261,02018,5,3
1000043261,06028,5,5
1000043261,02007,5,3
1000043261,FD007,5,3
1000043263,FD063,5,5
1000043263,FD060,5,5
1000043263,AL003,5,3
1000043263,07026,5,4
1000043311,09006,5,4
1000043311,09007,5,4
1000043429,FD006,4,3
1000043465,AL003,3,3
1000043503,FD056,5,5
1000043524,01024,5,4
1000043524,FD006,5,3
1000043875,06004,2,2
1000043938,FD054,5,5
1000044131,FD029,5,4
1000044131,FD036,5,4
1000044422,FD093,4,3
1000044422,02007,4,3
1000044422,05003,4,3
1000044422,05006,4,4
1000044422,01007,4,3
1000044428,JA026,5,4
1000044729,NE005,5,3
1000044729,FD084,5,3
1000044729,UB047,5,5
1000044729,PT029,5,4
1000044729,FD040,5,4
1000044743,02007,3,3
1000044802,13008,4,4
1000044802,FD004,4,3
1000044802,02007,4,3
1000044802,03014,4,4
1000044802,AL002,4,3
1000044802,03011,4,4
1000044802,FC016,4,3
1000044802,NE006,4,3
1000044802,FC014,4,3
1000044802,SC083,4,4
1000044893,NE006,5,3
1000044893,FD092,5,3
1000044893,NN025,5,3
1000044893,FD003,5,3
1000044893,03014,5,4
1000044893,AL003,5,3
1000044893,FD041,5,4
1000044904,02007,4,3
1000045173,AL003,3,3
1000045487,RB007,4,4
1000045487,FD035,4,4
1000045487,PT021,4,4
1000045487,06022,4,4
1000045556,FD046,4,4
1000045556,IN011,4,4
1000045557,FD077,4,3
1000045557,FD036,4,4
1000045620,AL003,3,3
1000045840,AL003,5,3
1000045844,02007,3,3
1000045937,01021,4,4
1000045937,06017,4,4
1000045937,02007,4,3
1000045943,06017,4,4
1000045943,03020,4,4
1000045943,03011,4,4
1000046262,02019,4,4
1000046262,01007,4,3
1000046262,03026,4,4
1000046280,NN025,5,3
1000046280,IN017,5,4
1000046480,IN005,5,4
1000046528,04015,5,4
1000046528,06022,5,4
1000046528,LM042,5,4
1000046528,03012,5,4
1000046550,AL022,5,4
1000046550,IN014,5,4
1000046550,NE006,5,3
1000046550,AL003,5,3
1000046635,FD013,3,3
1000046635,FC005,3,4
1000046979,06055,4,3
1000047180,IV076,5,5
1000047180,SC111,5,5
1000047180,FD021,5,4
1000047208,02007,4,3
1000047476,NN040,4,4
1000047476,06022,4,4
1000047512,03033,5,5
1000047512,AM008,5,4
1000047512,AL058,5,4
1000047565,UB047,5,5
1000047686,NN026,4,3
1000047960,09014,5,5
1000047960,FD012,5,3
1000047960,NE002,5,3
1000048024,04015,4,4
1000048112,SC051,3,3
1000048331,02007,4,3
1000048385,PI153,2,3
1000048403,07005,3,2
1000048472,AL003,5,3
1000048472,AL058,5,4
1000048785,02007,4,3
1000048785,AL003,4,3
1000048810,AL003,5,3
1000048898,06007,5,3
1000048898,AL002,5,3
1000048987,FC014,3,3
1000048987,FC010,3,3
1000048987,FD084,3,3
1000049051,08023,5,5
1000049051,PT049,5,5
1000049191,03026,5,4
1000049191,ES053,5,5
1000049227,JA026,4,4
1000049227,FC016,4,3
1000049227,NE010,4,4
1000049227,FC014,4,3
1000049227,02007,4,3
1000049248,02007,5,3
1000049248,SC109,5,5
1000049248,FD063,5,5
1000049248,FD024,5,4
1000049383,FD085,4,3
1000049383,FD035,4,4
1000049818,AB003,5,5
1000049818,AL003,5,3
1000049818,06017,5,4
1000050375,AL003,3,3
1000050437,AL024,4,4
